trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",20,0,-131.24338385919833,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.95, 'e': 0.9025}",35,2,2.0959466955753143,"{0: 29, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",30,12,-55.0867780814179,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",25,10,-25.6111779170039,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",25,15,20.953973104745003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",30,20,-22.04154917650122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",25,12,25.226988368462372,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",30,19,-41.09966527283122,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",20,13,16.328889305746802,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",25,15,18.510912791479647,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",25,15,6.569762981725324,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",30,19,-23.35459623718666,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",20,0,-0.6473741082891082,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",20,5,28.532238449253228,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",30,15,28.804352425330336,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.95, 'e': 0.44012666865176536}",30,10,-6.677325506661676,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.95, 'e': 0.4181203352191771}",20,6,21.92014730332081,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.95, 'e': 0.3972143184582182}",20,13,13.346337367995375,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.95, 'e': 0.37735360253530725}",20,0,23.975356662963385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.95, 'e': 0.3584859224085419}",20,2,20.38201852238516,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
