trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.62433955158633,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.3660428305689,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.95104359378143,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.32318001309096,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.07082328249265,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.37371234413788,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.82849751515846,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.6126457069326,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.88250258539216,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.19844944353632,"{0: 17, 1: 7, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.32835173306285,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.95091954661474,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.30639268189372,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.6862451718093,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.37333320327817,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,3,-146.93285077940604,"{0: 7, 1: 1, 2: 7, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.11212253865246,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.79620298117773,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.63863021100849,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.296602438813785,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.1647438245915,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.859436675018074,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-80.69708861179987,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-24.55158858987308,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.31099710118872,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,8,-59.21003152782036,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.2697926307186,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-173.473856007581,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-251.392488811912,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-169.33582381048265,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
